;Properties;ITEM;ITEM TYPOLOGY;;;
2 SET;"(2) Set:
+250 Dexterity
Increases Spirit Regeneration by 4.00 per Second
Chance to hurl a ball of pure energy when attacking";Shenlong's Spirit (Monk);Set;S;;
2 SET;"(2) Set:
Your Fetish Army lasts until they die";Zunimassa's Haunt;Set;S;;
2 SET;"(2) Set:
+100 Resistance to All Elements";Asheara's Vestments;Set;S;;
2 SET;"(2) Set:
+15% Life";Born's Command;Set;S;;
2 SET;"(2) Set:
Regenerates 6000 Life per Second
Reduces cooldown of all skills by 10%";Captain Crimson's Trimmings;Set;S;;
2 SET;"(2) Set:
Ranged and melee attackers take 6000 Fire damage per hit";Demon's Hide;Set;S;;
2 SET;"(2) Set:
+100 Resistance to All Elements
Attack Speed Increased by 10%";Hallowed Protectors;Set;S;;
3 SET;"(3) Set:
Reduces damage from elites by 15%
Increases damage against elites by 15%";Aughild's Authority;Set;S;;
3 SET;"(3) Set:
50% Better Chance of Finding Magical Items
Increases Bonus Experience by 50%";Cain's Destiny;Set;S;;
3 SET;"(3) Set:
Whenever a Death's Breath drops, a second one will also drop";Sage's Journey;Set;S;;
3 SET;"(3) Set:
Reduces damage from elites by 10%
+25% Extra Gold from Monsters";Blackthorne's Battlegear;Set;S;;
3 SET;"(3) Set:
+20% Life";Asheara's Vestments;Set;S;;
3 SET;"(3) Set:
Reduces cooldown of all skills by 10%
Increases Bonus Experience by 20%";Born's Command;Set;S;;
3 SET;"(3) Set:
+50 Resistance to All Elements
Reduces all resource costs by 10%";Captain Crimson's Trimmings;Set;S;;
3 SET;"(3) Set:
Chance to Deal 25% Area Damage on Hit";Demon's Hide;Set;S;;
4 SET;"(4) Set:
Gain 20% damage reduction and deal 20% increased damage for 4 seconds if no enemy is within 10 yards of you";Unhallowed Essence (Demon Hunter);Set;S;;
4 SET;"(4) Set:
Reduce the cooldown of Wrath of the Berserker and Call of the Ancients by 3 seconds for every 10 Fury you spend with an attack";Immortal King's Call;Set;S;;
4 SET;"(4) Set:
Rain of Vengeance deals 100% increased damage";Natalya's Vengeance;Set;S;;
4 SET;"(4) Set:
Attacks increase your resistance to that damage type by 100% for 6 seconds";Tal Rasha's Elements;Set;S;;
4 SET;"(4) Set:
Your Thorns damage now hits all enemies in a 15 yard radius";Thorns of the Invoker;Set;S;;
4 SET;"(4) Set:
Cause an Earthquake when you land after using Leap";Might of the Earth;Set;S;;
4 SET;"(4) Set:
Your Fire Spells cause up to 3 enemies to explode, dealing 400% weapon damage as Fire to enemies within 10 yards";Firebird's Finery (Wizard);Set;S;;
4 SET;"(4) Set:
+15% Movement Speed";Guardian's Jeopardy;Set;S;;
4 SET;"(4) Set:
Reduces cooldown of Wall of Zombies by 2 seconds";Helltooth Harness (Witch Doctor);Set;S;;
4 SET;"(4) Set:
Reduce the cost of all abilities by 50% while Akarat's Champion is active";Armor of Akkhan (Crusader);Set;S;;
4 SET;"(4) Set:
During Whirlwind you gain 40% damage reduction";Wrath of the Wastes (Barbarian);Set;S;;
4 SET;"(4) Set:
Soul Harvest gains the effect of every rune";Raiment of the Jade Harvester;Set;S;;
4 SET;"(4) Set:
Sentries cast your Hatred spender when you do";Embodiment of the Marauder (Demon Hunter);Set;S;;
4 SET;"(4) Set:
Dashing Strike spends 75 Spirit, but refunds a Charge when it does";Raiment of a Thousand Storm (Monk);Set;S;;
4 SET;"(4) Set:
Furious Charge gains the effect of every rune";The Legacy of Raekor (Barbarian);Set;S;;
4 SET;"(4) Set:
Increase the damage of Shield Bash and Sweep Attack by 500%";Roland's Legacy (Crusader);Set;S;;
4 SET;"(4) Set:
Enemies affected by your Slow Time take 2000% weapon damage every second";Delsere's Magnum Opus (Wizard);Set;S;;
4 SET;"(4) Set:
When your decoys explode, you gain a buff that increases the damage of Cyclone Strike, Exploding Palm, Lashing Tail Kick, Tempest Rush and Wave of Light by 500% for 3 seconds";Monkey King's Garb;Set;S;;
4 SET;"(4) Set:
Shadow Power gains the effect of every rune";The Shadow's Mantle;Set;S;;
4 SET;"(4) Set:
Archon gains the effect of every rune";Vyr's Amazing Arcana;Set;S;;
4 SET;"(4) Set:
You are immune to Desecrator, Molten, and Plagued monster ground effects";Blackthorne's Battlegear;Set;S;;
4 SET;"(4) Set:
Gain the base effect of all four Mantras at all times";Inna's Mantra ;Set;S;;
4 SET;"(4) Set:
You and your pets take 2% less damage for every Fetish you have alive";Zunimassa's Haunt;Set;S;;
4 SET;"(4) Set:
Attacks cause your followers to occasionally come to your aid";Asheara's Vestments;Set;S;;
4 SET;"(4) Set:
+15% Damage to Demons
Chance to reflect projectiles when you are hit by enemies";Demon's Hide;Set;S;;
6 SET;"(6) Set:
Your generators and Multishot deal 15% increased damage for every point of Discipline you have";Unhallowed Essence (Demon Hunter);Set;S;;
6 SET;"(6) Set:
While both Wrath of the Berserker and Call of the Ancients is active, you deal 100% increased damage";Immortal King's Call;Set;S;;
6 SET;"(6) Set:
After casting Rain of Vengeance, deal 400% increased damage and take 30% reduced damage for 5 seconds";Natalya's Vengeance;Set;S;;
6 SET;"(6) Set:
Attacks increase your damage by 150% for 6 seconds. Arcane, Cold, Fire, and Lightning attacks each add one stack. Adding a stack refreshes the duration";Tal Rasha's Elements;Set;S;;
6 SET;"(6) Set:
Dealing Fire damage causes the enemy to take the same amount of damage over 3 seconds, stacking up to 3000% weapon damage as Fire per second. After reaching 3000% damage per second, the enemy will burn until they die";Firebird's Finery (Wizard);Set;S;;
6 SET;"(6) Set:
Wall of Zombies spews acid, dealing 300% weapon damage every second for its entire duration";Helltooth Harness (Witch Doctor);Set;S;;
6 SET;"(6) Set:
Reduce the cooldown of Akarat's Champion by 50%";Armor of Akkhan (Crusader);Set;S;;
6 SET;"(6) Set:
Whirlwind gains the effect of the Dust Devils rune and Dust Devils damage is increased to 2500% weapon damage";Wrath of the Wastes (Barbarian);Set;S;;
6 SET;"(6) Set:
Soul Harvest consumes your damage over time effects on enemies, instantly dealing their remaining damage";Raiment of the Jade Harvester;Set;S;;
6 SET;"(6) Set:
Your generators, Elemental Arrow, Chakram, Impale, Multishot, and Cluster Arrow deal 100% increased damage for every active Sentry";Embodiment of the Marauder (Demon Hunter);Set;S;;
6 SET;"(6) Set:
Your Spirit Generators increase the weapon damage of Dashing Strike to 12500% for 6 seconds";Raiment of a Thousand Storm (Monk);Set;S;;
6 SET;"(6) Set:
Enemies hit by your Furious Charge take 3000% weapon damage over 3 seconds";The Legacy of Raekor (Barbarian);Set;S;;
6 SET;"(6) Set:
Every use of Shield Bash or Sweep Attack that hits an enemy grants 30% increased Attack Speed for 3 seconds. This effect stacks up to 5 times";Roland's Legacy (Crusader);Set;S;;
6 SET;"(6) Set:
Enemies affected by your Slow Time take 750% more damage from your Arcane Orb, Energy Twister, Magic Missile and Shock Pulse abilities";Delsere's Magnum Opus (Wizard);Set;S;;
6 SET;"(6) Set:
Mystic Ally casts Cyclone Strike, Exploding Palm, Lashing Tail Kick, Seven-Sided Strike, and Wave of Light when you do";Inna's Mantra ;Set;S;;
6 SET;"(6) Set:
Enemies hit by your Mana spenders take 275% more damage from your pets for 4 seconds";Zunimassa's Haunt;Set;S;;
ACID BLOB;BONUS 25–50% chance to lob an acid blob when attacking;Pus Spitter;Crossbow;W;;
ALL RES;Resistance to All Elements +91-100;Ageless Might (Barbarian);Mighty Belt;A;;
ALL RES;Resistance to All Elements +91-100;Aughild's Spike;Helm;A;;
ALL RES;BONUS Increases Resist All by 50–100 for 5 seconds;Bottomless Potion of the Diamond;Legendary Potion;A;;
ALL RES;Resistance to All Elements +91-100;Chaingmail;Chest Armor;A;;
ALL RES;Resistance to All Elements +91-100;Denial;Shield;A;;
ALL RES;Resistance to All Elements +91-100;Depth Diggers;Pants;A;;
ALL RES;Resistance to All Elements +91-100;Golden Gorget of Leoric (Horadric Cache);Amulet;A;;
ALL RES;Resistance to All Elements +91-100;Goldskin;Chest Armor;A;;
ALL RES;Resistance to All Elements +91-100;Heart of Iron;Chest Armor;A;;
ALL RES;Resistance to All Elements +91-100;Hwoj Wrap;Belt;A;;
ALL RES;Resistance to All Elements +91-100;Ice Climbers;Boots;A;;
ALL RES;Resistance to All Elements +91-100;Illusory Boots (Horadric Cache);Boots;A;;
ALL RES;Resistance to All Elements +91-100;Immortal King's Stride;Boots;A;;
ALL RES;Resistance to All Elements +91-100;Immortal King's Tribal Binding (Barbarian);Mighty Belt;A;;
ALL RES;Resistance to All Elements +91-100;Inna's Favor;Belt;A;;
ALL RES;Resistance to All Elements +91-100;Jade Harvester's Joy;Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Mantle of the Upside-Down Sinners (Monk);Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Mempo of Twilight;Helm;A;;
ALL RES;Resistance to All Elements +91-100;Natalya's Bloody Footprints;Boots;A;;
ALL RES;Resistance to All Elements +91-100;Oculus Ring;Ring;A;;
ALL RES;Resistance to All Elements +91-100;Pauldrons of Akkhan (Crusader);Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Pride of Cassius (Barbarian);Mighty Belt;A;;
ALL RES;Resistance to All Elements +91-100;Raekor's Burden (Barbarian);Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Roland's Mantle (Crusader);Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Skull of Resonance;Helm;A;;
ALL RES;Resistance to All Elements +91-100;Spires of the Earth;Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Sunwuko's Balance;Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Tal Rasha's Brace;Belt;A;;
ALL RES;Resistance to All Elements +91-100;The Undisputed Champion (Barbarian) (Season 2);Mighty Belt;A;;
ALL RES;Resistance to All Elements +91-100;Tyrael's Might;Chest Armor;A;;
ALL RES;Resistance to All Elements +91-100;Pauldrons of the Wastes (Barbarian);Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Unsanctified Shoulders (Demon Hunter);Shoulders;A;;
ALL RES;Resistance to All Elements +91-100;Belt of the Trove (Season 2);Belt;A;;
ALL RES;Resistance to All Elements +91-100;Blessed of Haull;Belt;A;;
ALL RES;Resistance to All Elements +91-100;Omnislash;Belt;A;;
ALL RES;Resistance to All Elements +91-100;Nilfur's Boast;Boots;A;;
ALL RES;Resistance to All Elements +91-100;Inna's Sandals;Boots;A;;
APoC;Critical Hits grant 3–4 Arcane Power;Chantodo's Force (Wizard);Source;A;;
APoC;Critical Hits grant 3–4 Arcane Power;The Oculus (Wizard);Source;A;;
APoC;Critical Hits grant 3–4 Arcane Power;The Swami (Wizard);Wizard Hat;A;;
ApS;Attacks per Second 1,40;Aether Walker (Wizard) (Season 1);Wand;W;;
ApS;Attacks per Second 1,00;Ahavarion, Spear of Lycander;Staff;W;;
ApS;Attacks per Second 1,20;Akanesh, the Herald of Righteousness;Spear;W;;
ApS;Attacks per Second 1,30;Ambo's Pride (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,40;Anessazi Edge (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,10;Arcane Barb;Crossbow;W;;
ApS;Attacks per Second 1,20;Arreat's Law;Spear;W;;
ApS;Attacks per Second 0,90;Arthef's Spark of Life;Mace 2H;W;;
ApS;Attacks per Second 1,40;Atrophy (Wizard);Wand;W;;
ApS;Attacks per Second 1,10;Autumn's Call;Staff;W;;
ApS;Attacks per Second 1,40;Azurewrath;Sword;W;;
ApS;Attacks per Second 1,10;Bakkan Caster;Crossbow;W;;
ApS;Attacks per Second 1,10;Balance (Monk);Daibo;W;;
ApS;Attacks per Second 1,60;Balefire Caster (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,15;Baleful Remnant (Crusader);Flail 2H;W;;
ApS;Attacks per Second 1,00;Bastion's Revered (Barbarian);Mighty Weapon 2H;W;;
ApS;Attacks per Second 1,10;Blackguard;Sword 2H;W;;
ApS;Attacks per Second 1,40;Blackhand Key (Wizard);Wand;W;;
ApS;Attacks per Second 1,10;Blade of Prophecy;Sword 2H;W;;
ApS;Attacks per Second 1,30;Blade of the Warlord (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,60;Blitzbolter (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,58-1,61;Blood-Magic Edge;Dagger;W;;
ApS;Attacks per Second 1,40;Born's Furious Wrath;Sword;W;;
ApS;Attacks per Second 0,95;Bovine Bardiche;Polearm;W;;
ApS;Attacks per Second 1,30;Bul-Kathos's Solemn Vow (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,30;Bul-Kathos's Warrior Blood (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,10;Buriza-Do Kyanon;Crossbow;W;;
ApS;Attacks per Second 1,00;Burst of Wrath (Horadric Cache);Axe 2H;W;;
ApS;Attacks per Second 1,00;Butcher's Carver;Axe 2H;W;;
ApS;Attacks per Second 1,60;Calamity (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,10;Cam's Rebuttal;Sword 2H;W;;
ApS;Attacks per Second 1,10;Chanon Bolter;Crossbow;W;;
ApS;Attacks per Second 1,40;Chantodo's Will (Wizard);Wand;W;;
ApS;Attacks per Second 1,10;Cinder Switch;Axe 2H;W;;
ApS;Attacks per Second 1,40;Cluckeye;Bow;W;;
ApS;Attacks per Second 1,00;Crushbane;Mace 2H;W;;
ApS;Attacks per Second 1,40;Crystal Fist (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,60;Danetta's Revenge (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,60;Danetta's Spite (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,40;Darklight (Crusader);Flail;W;;
ApS;Attacks per Second 1,60;Dawn (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,40;Deadly Rebirth (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,40;Demon Claw (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,10;Demon Machine;Crossbow;W;;
ApS;Attacks per Second 1,20;Devastator;Mace;W;;
ApS;Attacks per Second 1,40;Devil Tongue;Sword;W;;
ApS;Attacks per Second 1,40;Doombringer;Sword;W;;
ApS;Attacks per Second 1,20;Echoing Fury;Mace;W;;
ApS;Attacks per Second 1,20;Empyrean Messenger;Spear;W;;
ApS;Attacks per Second 1,50;Envious Blade (Horadric Cache);Dagger;W;;
ApS;Attacks per Second 1,40;Etrayu;Bow;W;;
ApS;Attacks per Second 1,40;Exarian;Sword;W;;
ApS;Attacks per Second 1,10;Faithful Memory;Sword 2H;W;;
ApS;Attacks per Second 1,15;Fate of the Fell (Crusader);Flail 2H;W;;
ApS;Attacks per Second 1,30;Fjord Cutter (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,30;Flesh Tearer;Axe;W;;
ApS;Attacks per Second 1,40;Fleshrake (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,10;Flying Dragon (Monk);Daibo;W;;
ApS;Attacks per Second 1,40;Fragment of Destiny (Wizard);Wand;W;;
ApS;Attacks per Second 1,44-1,46;Fulminator;Sword;W;;
ApS;Attacks per Second 1,00;Fury of the Vanished Peak (Barbarian);Mighty Weapon 2H;W;;
ApS;Attacks per Second 1,30;Genzaniku;Axe;W;;
ApS;Attacks per Second 1,40;Gesture of Orpheus (Wizard);Wand;W;;
ApS;Attacks per Second 1,40;Gift of Silaria;Sword;W;;
ApS;Attacks per Second 1,15;Golden Flense (Crusader);Flail 2H;W;;
ApS;Attacks per Second 1,40;Golden Scourge (Crusader);Flail;W;;
ApS;Attacks per Second 1,40;Griswold's Perfection;Sword;W;;
ApS;Attacks per Second 1,40;Gyrfalcon's Foote (Crusader);Flail;W;;
ApS;Attacks per Second 1,30;Hack;Axe;W;;
ApS;Attacks per Second 1,40;Hallowed Baton (Wizard);Wand;W;;
ApS;Attacks per Second 1,30;Hallowed Breach;Axe;W;;
ApS;Attacks per Second 1,60;Hallowed Condemnation (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,40;Hallowed Hold (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,30;Hallowed Nemesis (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,40;Hallowed Sufferance (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,05;Heart Slaughter;Polearm;W;;
ApS;Attacks per Second 1,10;Hellrack;Crossbow;W;;
ApS;Attacks per Second 1,60;Helltrapper (Demon Hunter) (Horadric Cache);Hand Crossbow;W;;
ApS;Attacks per Second 1,00;Immortal King's Boulder Breaker (Barbarian);Mighty Weapon 2H;W;;
ApS;Attacks per Second 1,15;Incense Torch of the Grand Temple (Monk);Daibo;W;;
ApS;Attacks per Second 1,10;Inna's Reach (Monk);Daibo;W;;
ApS;Attacks per Second 1,40;Inviolable Faith (Crusader);Flail;W;;
ApS;Attacks per Second 1,60;Izzuccob (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,20;Jace's Hammer of Vigilance;Mace;W;;
ApS;Attacks per Second 1,40;Jawbreaker (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,40;Justinian's Mercy (Crusader);Flail;W;;
ApS;Attacks per Second 1,40;Kassar's Retribution (Crusader);Flail;W;;
ApS;Attacks per Second 1,55-1,56;Kill;Dagger;W;;
ApS;Attacks per Second 1,60;K'Mar Tenclip (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,40;Kridershot;Bow;W;;
ApS;Attacks per Second 1,15;Lai Yui Persuader (Monk);Daibo;W;;
ApS;Attacks per Second 1,40;Last Breath (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,40;Leonine Bow of Hashir (Season 1);Bow;W;;
ApS;Attacks per Second 1,47-1,50;Little Rogue;Sword;W;;
ApS;Attacks per Second 1,40;Living Umbral Oath (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,40;Logan's Claw (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,20;Mad Monarch's Scepter (Horadric Cache);Mace;W;;
ApS;Attacks per Second 1,10;Madawc's Sorrow (Barbarian);Mighty Weapon 2H;W;;
ApS;Attacks per Second 1,00;Maloth's Focus;Staff;W;;
ApS;Attacks per Second 1,40;Manajuma's Carving Knife (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,10;Manticore;Crossbow;W;;
ApS;Attacks per Second 1,10;Mark of the Magi;Staff;W;;
ApS;Attacks per Second 1,15;Maximus;Sword 2H;W;;
ApS;Attacks per Second 1,10;Messerschmidt's Reaver;Axe 2H;W;;
ApS;Attacks per Second 1,40;Monster Hunter;Sword;W;;
ApS;Attacks per Second 1,20;Nailbiter;Mace;W;;
ApS;Attacks per Second 1,60;Natalya's Slayer (Demon Hunter);Hand Crossbow;W;;
ApS;Attacks per Second 1,20;Neanderthal;Mace;W;;
ApS;Attacks per Second 1,30;Night's Reaping (Barbarian);Mighty Weapon;W;;
ApS;Attacks per Second 1,20;Nutcracker;Mace;W;;
ApS;Attacks per Second 1,20;Odyn Son;Mace;W;;
ApS;Attacks per Second 1,50;Pig Sticker;Dagger;W;;
ApS;Attacks per Second 0,95;Pledge of Caldeum;Polearm;W;;
ApS;Attacks per Second 1,10;Pus Spitter;Crossbow;W;;
ApS;Attacks per Second 1,40;Rabid Strike (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,30;Remorseless (Barbarian) (Season 1);Mighty Weapon;W;;
ApS;Attacks per Second 1,40;Rhen'ho Flayer (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,40;Rimeheart;Sword;W;;
ApS;Attacks per Second 1,15;Rozpedin's Force (Monk);Daibo;W;;
ApS;Attacks per Second 1,40;Sacred Harvester (Witch Doctor) (Season 1);Ceremonial Knife;W;;
ApS;Attacks per Second 1,40;Scarbringer (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,00;Schaefer's Hammer;Mace 2H;W;;
ApS;Attacks per Second 1,10;Scourge;Sword 2H;W;;
ApS;Attacks per Second 1,20;Scrimshaw;Spear;W;;
ApS;Attacks per Second 1,40;Serpent's Sparker (Wizard);Wand;W;;
ApS;Attacks per Second 1,40;Sever;Sword;W;;
ApS;Attacks per Second 1,40;Shard of Hate;Sword;W;;
ApS;Attacks per Second 1,40;Shenlong's Fist of Legend (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,40;Shenlong's Relentless Assault (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,00;Skorn;Axe 2H;W;;
ApS;Attacks per Second 1,43-1,44;Sky Splitter;Axe;W;;
ApS;Attacks per Second 1,40;Skycutter;Sword;W;;
ApS;Attacks per Second 1,00;Skywarden;Mace 2H;W;;
ApS;Attacks per Second 1,40;Sledge Fist (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,00;Sledge of Athskeleng;Mace 2H;W;;
ApS;Attacks per Second 1,40;Slorak's Madness (Wizard);Wand;W;;
ApS;Attacks per Second 1,20;Solanium;Mace;W;;
ApS;Attacks per Second 0,90;Soulsmasher (Horadric Cache);Mace 2H;W;;
ApS;Attacks per Second 1,10;Staff of Kyro (Monk);Daibo;W;;
ApS;Attacks per Second 1,15;Stalgard's Decimator;Sword 2H;W;;
ApS;Attacks per Second 1,05;Standoff;Polearm;W;;
ApS;Attacks per Second 1,40;Starfire (Wizard);Wand;W;;
ApS;Attacks per Second 1,40;Starmetal Kukri (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,20;Sun Keeper;Mace;W;;
ApS;Attacks per Second 1,00;Sunder;Mace 2H;W;;
ApS;Attacks per Second 1,40;Swiftmount (Crusader);Flail;W;;
ApS;Attacks per Second 1,47-1,50;Sydyru Crust;Bow;W;;
ApS;Attacks per Second 1,24-1,25;Telranden's Hand;Mace;W;;
ApS;Attacks per Second 1,44-1,46;The Ancient Bonesaber of Zumakalis;Sword;W;;
ApS;Attacks per Second 1,50;The Barber;Dagger;W;;
ApS;Attacks per Second 1,10;The Broken Staff;Staff;W;;
ApS;Attacks per Second 1,30;The Burning Axe of Sankis;Axe;W;;
ApS;Attacks per Second 1,30;The Butcher's Sickle;Axe;W;;
ApS;Attacks per Second 1,40;The Dagger of Darts (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,00;The Executioner;Axe 2H;W;;
ApS;Attacks per Second 1,40;The Fist of Az'Turrasq (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,15;The Flow of Eternity (Monk);Daibo;W;;
ApS;Attacks per Second 1,00;The Furnace;Mace 2H;W;;
ApS;Attacks per Second 1,10;The Gavel of Judgment (Barbarian);Mighty Weapon 2H;W;;
ApS;Attacks per Second 1,40;The Gidbinn (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,00;The Grand Vizier;Staff;W;;
ApS;Attacks per Second 1,10;The Grandfather;Sword 2H;W;;
ApS;Attacks per Second 1,15;The Mortal Drama (Crusader);Flail 2H;W;;
ApS;Attacks per Second 1,10;The Paddle (Monk);Daibo;W;;
ApS;Attacks per Second 1,40;The Raven's Wing;Bow;W;;
ApS;Attacks per Second 1,40;The Slanderer;Sword;W;;
