Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed
42,"66,240,000",142,"210,240,000",242,"354,240,000",342,"498,240,000",442,"642,240,000",542,"786,240,000",642,"930,240,000",742,"1,074,240,000",842,"1,218,240,000",942,"1,362,240,000"
43,"67,680,000",143,"211,680,000",243,"355,680,000",343,"499,680,000",443,"643,680,000",543,"787,680,000",643,"931,680,000",743,"1,075,680,000",843,"1,219,680,000",943,"1,363,680,000"
44,"69,120,000",144,"213,120,000",244,"357,120,000",344,"501,120,000",444,"645,120,000",544,"789,120,000",644,"933,120,000",744,"1,077,120,000",844,"1,221,120,000",944,"1,365,120,000"
45,"70,560,000",145,"214,560,000",245,"358,560,000",345,"502,560,000",445,"646,560,000",545,"790,560,000",645,"934,560,000",745,"1,078,560,000",845,"1,222,560,000",945,"1,366,560,000"
46,"72,000,000",146,"216,000,000",246,"360,000,000",346,"504,000,000",446,"648,000,000",546,"792,000,000",646,"936,000,000",746,"1,080,000,000",846,"1,224,000,000",946,"1,368,000,000"
47,"73,440,000",147,"217,440,000",247,"361,440,000",347,"505,440,000",447,"649,440,000",547,"793,440,000",647,"937,440,000",747,"1,081,440,000",847,"1,225,440,000",947,"1,369,440,000"
48,"74,880,000",148,"218,880,000",248,"362,880,000",348,"506,880,000",448,"650,880,000",548,"794,880,000",648,"938,880,000",748,"1,082,880,000",848,"1,226,880,000",948,"1,370,880,000"
49,"76,320,000",149,"220,320,000",249,"364,320,000",349,"508,320,000",449,"652,320,000",549,"796,320,000",649,"940,320,000",749,"1,084,320,000",849,"1,228,320,000",949,"1,372,320,000"
50,"77,760,000",150,"221,760,000",250,"365,760,000",350,"509,760,000",450,"653,760,000",550,"797,760,000",650,"941,760,000",750,"1,085,760,000",850,"1,229,760,000",950,"1,373,760,000"
51,"79,200,000",151,"223,200,000",251,"367,200,000",351,"511,200,000",451,"655,200,000",551,"799,200,000",651,"943,200,000",751,"1,087,200,000",851,"1,231,200,000",951,"1,375,200,000"
52,"80,640,000",152,"224,640,000",252,"368,640,000",352,"512,640,000",452,"656,640,000",552,"800,640,000",652,"944,640,000",752,"1,088,640,000",852,"1,232,640,000",952,"1,376,640,000"
53,"82,080,000",153,"226,080,000",253,"370,080,000",353,"514,080,000",453,"658,080,000",553,"802,080,000",653,"946,080,000",753,"1,090,080,000",853,"1,234,080,000",953,"1,378,080,000"
54,"83,520,000",154,"227,520,000",254,"371,520,000",354,"515,520,000",454,"659,520,000",554,"803,520,000",654,"947,520,000",754,"1,091,520,000",854,"1,235,520,000",954,"1,379,520,000"
55,"84,960,000",155,"228,960,000",255,"372,960,000",355,"516,960,000",455,"660,960,000",555,"804,960,000",655,"948,960,000",755,"1,092,960,000",855,"1,236,960,000",955,"1,380,960,000"
56,"86,400,000",156,"230,400,000",256,"374,400,000",356,"518,400,000",456,"662,400,000",556,"806,400,000",656,"950,400,000",756,"1,094,400,000",856,"1,238,400,000",956,"1,382,400,000"
57,"87,840,000",157,"231,840,000",257,"375,840,000",357,"519,840,000",457,"663,840,000",557,"807,840,000",657,"951,840,000",757,"1,095,840,000",857,"1,239,840,000",957,"1,383,840,000"
58,"89,280,000",158,"233,280,000",258,"377,280,000",358,"521,280,000",458,"665,280,000",558,"809,280,000",658,"953,280,000",758,"1,097,280,000",858,"1,241,280,000",958,"1,385,280,000"
59,"90,720,000",159,"234,720,000",259,"378,720,000",359,"522,720,000",459,"666,720,000",559,"810,720,000",659,"954,720,000",759,"1,098,720,000",859,"1,242,720,000",959,"1,386,720,000"
60,"92,160,000",160,"236,160,000",260,"380,160,000",360,"524,160,000",460,"668,160,000",560,"812,160,000",660,"956,160,000",760,"1,100,160,000",860,"1,244,160,000",960,"1,388,160,000"
61,"93,600,000",161,"237,600,000",261,"381,600,000",361,"525,600,000",461,"669,600,000",561,"813,600,000",661,"957,600,000",761,"1,101,600,000",861,"1,245,600,000",961,"1,389,600,000"
62,"95,040,000",162,"239,040,000",262,"383,040,000",362,"527,040,000",462,"671,040,000",562,"815,040,000",662,"959,040,000",762,"1,103,040,000",862,"1,247,040,000",962,"1,391,040,000"
63,"96,480,000",163,"240,480,000",263,"384,480,000",363,"528,480,000",463,"672,480,000",563,"816,480,000",663,"960,480,000",763,"1,104,480,000",863,"1,248,480,000",963,"1,392,480,000"
64,"97,920,000",164,"241,920,000",264,"385,920,000",364,"529,920,000",464,"673,920,000",564,"817,920,000",664,"961,920,000",764,"1,105,920,000",864,"1,249,920,000",964,"1,393,920,000"
65,"99,360,000",165,"243,360,000",265,"387,360,000",365,"531,360,000",465,"675,360,000",565,"819,360,000",665,"963,360,000",765,"1,107,360,000",865,"1,251,360,000",965,"1,395,360,000"
66,"100,800,000",166,"244,800,000",266,"388,800,000",366,"532,800,000",466,"676,800,000",566,"820,800,000",666,"964,800,000",766,"1,108,800,000",866,"1,252,800,000",966,"1,396,800,000"
67,"102,240,000",167,"246,240,000",267,"390,240,000",367,"534,240,000",467,"678,240,000",567,"822,240,000",667,"966,240,000",767,"1,110,240,000",867,"1,254,240,000",967,"1,398,240,000"
68,"103,680,000",168,"247,680,000",268,"391,680,000",368,"535,680,000",468,"679,680,000",568,"823,680,000",668,"967,680,000",768,"1,111,680,000",868,"1,255,680,000",968,"1,399,680,000"
69,"105,120,000",169,"249,120,000",269,"393,120,000",369,"537,120,000",469,"681,120,000",569,"825,120,000",669,"969,120,000",769,"1,113,120,000",869,"1,257,120,000",969,"1,401,120,000"
70,"106,560,000",170,"250,560,000",270,"394,560,000",370,"538,560,000",470,"682,560,000",570,"826,560,000",670,"970,560,000",770,"1,114,560,000",870,"1,258,560,000",970,"1,402,560,000"
71,"108,000,000",171,"252,000,000",271,"396,000,000",371,"540,000,000",471,"684,000,000",571,"828,000,000",671,"972,000,000",771,"1,116,000,000",871,"1,260,000,000",971,"1,404,000,000"
72,"109,440,000",172,"253,440,000",272,"397,440,000",372,"541,440,000",472,"685,440,000",572,"829,440,000",672,"973,440,000",772,"1,117,440,000",872,"1,261,440,000",972,"1,405,440,000"
73,"110,880,000",173,"254,880,000",273,"398,880,000",373,"542,880,000",473,"686,880,000",573,"830,880,000",673,"974,880,000",773,"1,118,880,000",873,"1,262,880,000",973,"1,406,880,000"
74,"112,320,000",174,"256,320,000",274,"400,320,000",374,"544,320,000",474,"688,320,000",574,"832,320,000",674,"976,320,000",774,"1,120,320,000",874,"1,264,320,000",974,"1,408,320,000"
75,"113,760,000",175,"257,760,000",275,"401,760,000",375,"545,760,000",475,"689,760,000",575,"833,760,000",675,"977,760,000",775,"1,121,760,000",875,"1,265,760,000",975,"1,409,760,000"
76,"115,200,000",176,"259,200,000",276,"403,200,000",376,"547,200,000",476,"691,200,000",576,"835,200,000",676,"979,200,000",776,"1,123,200,000",876,"1,267,200,000",976,"1,411,200,000"
77,"116,640,000",177,"260,640,000",277,"404,640,000",377,"548,640,000",477,"692,640,000",577,"836,640,000",677,"980,640,000",777,"1,124,640,000",877,"1,268,640,000",977,"1,412,640,000"
78,"118,080,000",178,"262,080,000",278,"406,080,000",378,"550,080,000",478,"694,080,000",578,"838,080,000",678,"982,080,000",778,"1,126,080,000",878,"1,270,080,000",978,"1,414,080,000"
79,"119,520,000",179,"263,520,000",279,"407,520,000",379,"551,520,000",479,"695,520,000",579,"839,520,000",679,"983,520,000",779,"1,127,520,000",879,"1,271,520,000",979,"1,415,520,000"
80,"120,960,000",180,"264,960,000",280,"408,960,000",380,"552,960,000",480,"696,960,000",580,"840,960,000",680,"984,960,000",780,"1,128,960,000",880,"1,272,960,000",980,"1,416,960,000"
81,"122,400,000",181,"266,400,000",281,"410,400,000",381,"554,400,000",481,"698,400,000",581,"842,400,000",681,"986,400,000",781,"1,130,400,000",881,"1,274,400,000",981,"1,418,400,000"
82,"123,840,000",182,"267,840,000",282,"411,840,000",382,"555,840,000",482,"699,840,000",582,"843,840,000",682,"987,840,000",782,"1,131,840,000",882,"1,275,840,000",982,"1,419,840,000"
83,"125,280,000",183,"269,280,000",283,"413,280,000",383,"557,280,000",483,"701,280,000",583,"845,280,000",683,"989,280,000",783,"1,133,280,000",883,"1,277,280,000",983,"1,421,280,000"
84,"126,720,000",184,"270,720,000",284,"414,720,000",384,"558,720,000",484,"702,720,000",584,"846,720,000",684,"990,720,000",784,"1,134,720,000",884,"1,278,720,000",984,"1,422,720,000"
85,"128,160,000",185,"272,160,000",285,"416,160,000",385,"560,160,000",485,"704,160,000",585,"848,160,000",685,"992,160,000",785,"1,136,160,000",885,"1,280,160,000",985,"1,424,160,000"
86,"129,600,000",186,"273,600,000",286,"417,600,000",386,"561,600,000",486,"705,600,000",586,"849,600,000",686,"993,600,000",786,"1,137,600,000",886,"1,281,600,000",986,"1,425,600,000"
87,"131,040,000",187,"275,040,000",287,"419,040,000",387,"563,040,000",487,"707,040,000",587,"851,040,000",687,"995,040,000",787,"1,139,040,000",887,"1,283,040,000",987,"1,427,040,000"
88,"132,480,000",188,"276,480,000",288,"420,480,000",388,"564,480,000",488,"708,480,000",588,"852,480,000",688,"996,480,000",788,"1,140,480,000",888,"1,284,480,000",988,"1,428,480,000"
89,"133,920,000",189,"277,920,000",289,"421,920,000",389,"565,920,000",489,"709,920,000",589,"853,920,000",689,"997,920,000",789,"1,141,920,000",889,"1,285,920,000",989,"1,429,920,000"
90,"135,360,000",190,"279,360,000",290,"423,360,000",390,"567,360,000",490,"711,360,000",590,"855,360,000",690,"999,360,000",790,"1,143,360,000",890,"1,287,360,000",990,"1,431,360,000"
91,"136,800,000",191,"280,800,000",291,"424,800,000",391,"568,800,000",491,"712,800,000",591,"856,800,000",691,"1,000,800,000",791,"1,144,800,000",891,"1,288,800,000",991,"1,432,800,000"
92,"138,240,000",192,"282,240,000",292,"426,240,000",392,"570,240,000",492,"714,240,000",592,"858,240,000",692,"1,002,240,000",792,"1,146,240,000",892,"1,290,240,000",992,"1,434,240,000"
93,"139,680,000",193,"283,680,000",293,"427,680,000",393,"571,680,000",493,"715,680,000",593,"859,680,000",693,"1,003,680,000",793,"1,147,680,000",893,"1,291,680,000",993,"1,435,680,000"
94,"141,120,000",194,"285,120,000",294,"429,120,000",394,"573,120,000",494,"717,120,000",594,"861,120,000",694,"1,005,120,000",794,"1,149,120,000",894,"1,293,120,000",994,"1,437,120,000"
95,"142,560,000",195,"286,560,000",295,"430,560,000",395,"574,560,000",495,"718,560,000",595,"862,560,000",695,"1,006,560,000",795,"1,150,560,000",895,"1,294,560,000",995,"1,438,560,000"
96,"144,000,000",196,"288,000,000",296,"432,000,000",396,"576,000,000",496,"720,000,000",596,"864,000,000",696,"1,008,000,000",796,"1,152,000,000",896,"1,296,000,000",996,"1,440,000,000"
97,"145,440,000",197,"289,440,000",297,"433,440,000",397,"577,440,000",497,"721,440,000",597,"865,440,000",697,"1,009,440,000",797,"1,153,440,000",897,"1,297,440,000",997,"1,441,440,000"
98,"146,880,000",198,"290,880,000",298,"434,880,000",398,"578,880,000",498,"722,880,000",598,"866,880,000",698,"1,010,880,000",798,"1,154,880,000",898,"1,298,880,000",998,"1,442,880,000"
99,"148,320,000",199,"292,320,000",299,"436,320,000",399,"580,320,000",499,"724,320,000",599,"868,320,000",699,"1,012,320,000",799,"1,156,320,000",899,"1,300,320,000",999,"1,444,320,000"
100,"149,760,000",200,"293,760,000",300,"437,760,000",400,"581,760,000",500,"725,760,000",600,"869,760,000",700,"1,013,760,000",800,"1,157,760,000",900,"1,301,760,000","1,000","1,445,760,000"
,"7,848,000,000",,"22,248,000,000",,"36,648,000,000",,"51,048,000,000",,"65,448,000,000",,"79,848,000,000",,"94,248,000,000",,"108,648,000,000",,"123,048,000,000",,"137,448,000,000"
,Totals:,,"30,096,000,000",,"66,744,000,000",,"117,792,000,000",,"183,240,000,000",,"263,088,000,000",,"357,336,000,000",,"465,984,000,000",,"589,032,000,000",,"726,480,000,000"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1001 - 2002 Below,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1001,1447200000,,,,,,,,,,,,,,,,,,
1002,1448640000,,,,,,,,,,,,,,,,,,
1003,1450080000,,,,,,,,,,,,,,,,,,
1004,1451520000,,,,,,,,,,,,,,,,,,
1005,1452960000,,,,,,,,,,,,,,,,,,
1006,1454400000,,,,,,,,,,,,,,,,,,
1007,1455840000,,,,,,,,,,,,,,,,,,
1008,1457280000,,,,,,,,,,,,,,,,,,
1009,1458720000,,,,,,,,,,,,,,,,,,
1010,1460160000,,,,,,,,,,,,,,,,,,
1011,1461600000,,,,,,,,,,,,,,,,,,
1012,1463040000,,,,,,,,,,,,,,,,,,
1013,1464480000,,,,,,,,,,,,,,,,,,
1014,1465920000,,,,,,,,,,,,,,,,,,
1015,1467360000,,,,,,,,,,,,,,,,,,
1016,1468800000,,,,,,,,,,,,,,,,,,
1017,1470240000,,,,,,,,,,,,,,,,,,
1018,1471680000,,,,,,,,,,,,,,,,,,
1019,1473120000,,,,,,,,,,,,,,,,,,
1020,1474560000,,,,,,,,,,,,,,,,,,
1021,1476000000,,,,,,,,,,,,,,,,,,
1022,1477440000,,,,,,,,,,,,,,,,,,
1023,1478880000,,,,,,,,,,,,,,,,,,
1024,1480320000,,,,,,,,,,,,,,,,,,
1025,1481760000,,,,,,,,,,,,,,,,,,
1026,1483200000,,,,,,,,,,,,,,,,,,
1027,1484640000,,,,,,,,,,,,,,,,,,
1028,1486080000,,,,,,,,,,,,,,,,,,
1029,1487520000,,,,,,,,,,,,,,,,,,
1030,1488960000,,,,,,,,,,,,,,,,,,
1031,1490400000,,,,,,,,,,,,,,,,,,
1032,1491840000,,,,,,,,,,,,,,,,,,
1033,1493280000,,,,,,,,,,,,,,,,,,
1034,1494720000,,,,,,,,,,,,,,,,,,
1035,1496160000,,,,,,,,,,,,,,,,,,
1036,1497600000,,,,,,,,,,,,,,,,,,
1037,1499040000,,,,,,,,,,,,,,,,,,
1038,1500480000,,,,,,,,,,,,,,,,,,
1039,1501920000,,,,,,,,,,,,,,,,,,
1040,1503360000,,,,,,,,,,,,,,,,,,
1041,1504800000,,,,,,,,,,,,,,,,,,
1042,1506240000,,,,,,,,,,,,,,,,,,
1043,1507680000,,,,,,,,,,,,,,,,,,
1044,1509120000,,,,,,,,,,,,,,,,,,
1045,1510560000,,,,,,,,,,,,,,,,,,
1046,1512000000,,,,,,,,,,,,,,,,,,
1047,1513440000,,,,,,,,,,,,,,,,,,
1048,1514880000,,,,,,,,,,,,,,,,,,
1049,1516320000,,,,,,,,,,,,,,,,,,
1050,1517760000,,,,,,,,,,,,,,,,,,
1051,1519200000,,,,,,,,,,,,,,,,,,
1052,1520640000,,,,,,,,,,,,,,,,,,
1053,1522080000,,,,,,,,,,,,,,,,,,
1054,1523520000,,,,,,,,,,,,,,,,,,
1055,1524960000,,,,,,,,,,,,,,,,,,
1056,1526400000,,,,,,,,,,,,,,,,,,
1057,1527840000,,,,,,,,,,,,,,,,,,
1058,1529280000,,,,,,,,,,,,,,,,,,
1059,1530720000,,,,,,,,,,,,,,,,,,
1060,1532160000,,,,,,,,,,,,,,,,,,
1061,1533600000,,,,,,,,,,,,,,,,,,
1062,1535040000,,,,,,,,,,,,,,,,,,
1063,1536480000,,,,,,,,,,,,,,,,,,
1064,1537920000,,,,,,,,,,,,,,,,,,
1065,1539360000,,,,,,,,,,,,,,,,,,
1066,1540800000,,,,,,,,,,,,,,,,,,
1067,1542240000,,,,,,,,,,,,,,,,,,
1068,1543680000,,,,,,,,,,,,,,,,,,
1069,1545120000,,,,,,,,,,,,,,,,,,
1070,1546560000,,,,,,,,,,,,,,,,,,
1071,1548000000,,,,,,,,,,,,,,,,,,
1072,1549440000,,,,,,,,,,,,,,,,,,
1073,1550880000,,,,,,,,,,,,,,,,,,
1074,1552320000,,,,,,,,,,,,,,,,,,
1075,1553760000,,,,,,,,,,,,,,,,,,
1076,1555200000,,,,,,,,,,,,,,,,,,
1077,1556640000,,,,,,,,,,,,,,,,,,
1078,1558080000,,,,,,,,,,,,,,,,,,
1079,1559520000,,,,,,,,,,,,,,,,,,
1080,1560960000,,,,,,,,,,,,,,,,,,
1081,1562400000,,,,,,,,,,,,,,,,,,
1082,1563840000,,,,,,,,,,,,,,,,,,
1083,1565280000,,,,,,,,,,,,,,,,,,
1084,1566720000,,,,,,,,,,,,,,,,,,
1085,1568160000,,,,,,,,,,,,,,,,,,
1086,1569600000,,,,,,,,,,,,,,,,,,
1087,1571040000,,,,,,,,,,,,,,,,,,
1088,1572480000,,,,,,,,,,,,,,,,,,
1089,1573920000,,,,,,,,,,,,,,,,,,
1090,1575360000,,,,,,,,,,,,,,,,,,
1091,1576800000,,,,,,,,,,,,,,,,,,
1092,1578240000,,,,,,,,,,,,,,,,,,
1093,1579680000,,,,,,,,,,,,,,,,,,
1094,1581120000,,,,,,,,,,,,,,,,,,
1095,1582560000,,,,,,,,,,,,,,,,,,
1096,1584000000,,,,,,,,,,,,,,,,,,
1097,1585440000,,,,,,,,,,,,,,,,,,
1098,1586880000,,,,,,,,,,,,,,,,,,
1099,1588320000,,,,,,,,,,,,,,,,,,
1100,1589760000,,,,,,,,,,,,,,,,,,
1101,1591200000,,,,,,,,,,,,,,,,,,
1102,1592640000,,,,,,,,,,,,,,,,,,
1103,1594080000,,,,,,,,,,,,,,,,,,
1104,1595520000,,,,,,,,,,,,,,,,,,
1105,1596960000,,,,,,,,,,,,,,,,,,
1106,1598400000,,,,,,,,,,,,,,,,,,
1107,1599840000,,,,,,,,,,,,,,,,,,
1108,1601280000,,,,,,,,,,,,,,,,,,
1109,1602720000,,,,,,,,,,,,,,,,,,
1110,1604160000,,,,,,,,,,,,,,,,,,
1111,1605600000,,,,,,,,,,,,,,,,,,
1112,1607040000,,,,,,,,,,,,,,,,,,
1113,1608480000,,,,,,,,,,,,,,,,,,
1114,1609920000,,,,,,,,,,,,,,,,,,
1115,1611360000,,,,,,,,,,,,,,,,,,
1116,1612800000,,,,,,,,,,,,,,,,,,
1117,1614240000,,,,,,,,,,,,,,,,,,
1118,1615680000,,,,,,,,,,,,,,,,,,
1119,1617120000,,,,,,,,,,,,,,,,,,
1120,1618560000,,,,,,,,,,,,,,,,,,
1121,1620000000,,,,,,,,,,,,,,,,,,
1122,1621440000,,,,,,,,,,,,,,,,,,
1123,1622880000,,,,,,,,,,,,,,,,,,
1124,1624320000,,,,,,,,,,,,,,,,,,
1125,1625760000,,,,,,,,,,,,,,,,,,
1126,1627200000,,,,,,,,,,,,,,,,,,
1127,1628640000,,,,,,,,,,,,,,,,,,
1128,1630080000,,,,,,,,,,,,,,,,,,
1129,1631520000,,,,,,,,,,,,,,,,,,
1130,1632960000,,,,,,,,,,,,,,,,,,
1131,1634400000,,,,,,,,,,,,,,,,,,
1132,1635840000,,,,,,,,,,,,,,,,,,
1133,1637280000,,,,,,,,,,,,,,,,,,
1134,1638720000,,,,,,,,,,,,,,,,,,
1135,1640160000,,,,,,,,,,,,,,,,,,
1136,1641600000,,,,,,,,,,,,,,,,,,
1137,1643040000,,,,,,,,,,,,,,,,,,
1138,1644480000,,,,,,,,,,,,,,,,,,
1139,1645920000,,,,,,,,,,,,,,,,,,
1140,1647360000,,,,,,,,,,,,,,,,,,
1141,1648800000,,,,,,,,,,,,,,,,,,
1142,1650240000,,,,,,,,,,,,,,,,,,
1143,1651680000,,,,,,,,,,,,,,,,,,
1144,1653120000,,,,,,,,,,,,,,,,,,
1145,1654560000,,,,,,,,,,,,,,,,,,
